participant_id,age,age_20_or_above,gender,race_ethnicity,first_generation,family_income_bracket,pell_grant,loan_status,dependent_care,institution_control,institution_selectivity,tuition_fees_thousand,major_group,commute_minutes,hs_gpa,english_proficiency,remedial_coursework,enrollment_status,enrollment_units,credits_attempted,credits_earned,course_completion_rate,off_campus_work_hours,high_work_intensity,oncampus_work_hours,total_work_hours,job_related_to_major,schedule_variability,schedule_control,study_hours_per_week,sleep_hours,fin_strain_pay_tuition,fin_strain_living_costs,fin_strain_food_housing,fin_strain_need_work_income,engage_study_effort,engage_class_attendance,engage_class_participation,engage_faculty_contact,engage_peer_learning,support_advising_quality,support_faculty_care,support_belonging,support_resource_use,efficacy_manage_time,efficacy_complete_assignments,efficacy_ask_for_help,efficacy_recover_setbacks,work_conflict_missed_study,work_conflict_schedule_overlap,work_conflict_tired_in_class,work_conflict_missed_campus,work_value_applies_learning,work_value_career_skills,work_value_professional_network,work_value_motivation,wellbeing_stress,wellbeing_exhaustion,wellbeing_sleep_problems,wellbeing_overwhelmed,financial_strain_index,academic_engagement_index,institution_support_index,self_efficacy_index,work_academic_conflict_index,work_career_value_index,mental_strain_index,term_gpa,cumulative_gpa,persistence_score,enrolled_next_year,not_persisted
1,35,1,woman,multiracial_or_other,1,middle,0,1,0,public,moderately_selective,6.5,other,53,3.49,4.32,0,full_time,15.0,15.0,11.9,0.796,25,1,0,25,1,3,3,10.3,6.7,2,3,3,3,4,4,3,3,3,4,2,3,3,5,3,3,4,5,4,3,4,2,2,3,3,3,3,2,2,2.75,3.4,3.0,3.75,4.0,2.5,2.5,3.45,3.44,3.91,1,0
2,18,0,woman,asian,1,middle,1,1,0,public,open_access,3.8,business,29,2.48,3.05,1,full_time,14.1,14.1,10.2,0.722,15,0,1,16,1,2,5,4.5,7.4,1,3,2,2,1,1,2,1,2,2,2,1,1,1,3,1,1,2,1,3,2,5,5,5,4,3,2,2,4,2.0,1.4,1.5,1.5,2.0,4.75,2.75,2.04,2.37,3.01,0,1
3,18,0,woman,multiracial_or_other,0,middle,0,1,0,public,open_access,2.2,stem,24,2.47,3.69,0,full_time,13.9,13.9,13.9,1.0,6,0,0,6,1,1,4,21.1,7.4,1,2,1,2,4,5,4,4,4,2,4,3,2,5,5,4,5,1,1,1,2,2,3,1,2,1,1,1,1,1.5,4.2,2.75,4.75,1.25,2.0,1.0,3.92,3.27,3.89,1,0
4,18,0,man,white,1,middle,1,1,1,public,moderately_selective,6.8,social_science,13,2.24,3.66,1,full_time,15.6,15.6,8.7,0.556,30,1,0,30,0,5,2,4.8,5.5,4,4,5,5,3,1,2,2,2,4,3,2,3,3,1,4,2,5,5,5,5,3,3,2,3,5,5,5,5,4.5,2.0,3.0,2.5,5.0,2.75,5.0,1.31,1.86,2.68,0,1
5,18,0,woman,asian,1,high,0,1,1,public,moderately_selective,5.5,health,21,2.15,3.49,0,part_time,10.9,10.9,7.0,0.64,35,1,0,35,0,5,2,1.0,5.8,4,4,1,5,2,3,1,3,4,4,5,4,4,2,2,4,2,5,5,5,4,4,4,3,4,2,4,1,2,3.5,2.6,4.25,2.5,4.75,3.75,2.25,1.7,1.85,3.2,1,0
6,19,0,woman,white,1,low,0,1,0,public,highly_selective,7.1,business,41,2.9,3.21,0,full_time,17.0,17.0,17.0,1.0,8,0,0,8,1,3,2,14.6,7.6,2,1,2,1,5,5,5,4,5,5,4,4,5,5,4,3,3,3,1,1,1,4,2,3,5,3,2,1,1,1.5,4.8,4.5,3.75,1.5,3.5,1.75,4.0,3.45,4.21,1,0
7,18,0,man,black,0,low,1,1,0,private_nonprofit,minimally_selective,7.9,business,32,2.74,3.48,0,part_time,7.8,7.8,4.7,0.598,39,1,8,47,1,2,3,1.0,5.5,4,5,4,5,1,1,1,1,1,2,1,1,3,1,1,1,2,5,5,4,3,2,2,3,3,4,5,5,3,4.5,1.0,1.75,1.25,4.25,2.5,4.25,0.67,1.68,1.91,0,1
8,26,1,woman,black,0,high,0,0,0,public,minimally_selective,7.7,stem,35,2.8,3.23,0,full_time,16.8,16.8,11.2,0.665,33,1,0,33,0,5,1,3.8,5.4,4,2,3,4,3,3,3,2,4,2,2,1,2,3,2,3,3,3,5,4,3,3,5,3,2,4,3,5,5,3.25,3.0,1.75,2.75,3.75,3.25,4.25,1.69,1.83,2.89,0,1
9,19,0,woman,multiracial_or_other,1,middle,1,1,1,public,moderately_selective,5.9,other,12,4.0,4.34,0,full_time,14.5,14.5,13.9,0.958,31,1,0,31,0,5,3,9.2,5.5,3,1,4,1,3,4,4,4,4,3,2,3,1,3,5,4,3,4,4,5,4,3,2,3,4,3,4,3,3,2.25,3.8,2.25,3.75,4.25,3.0,3.25,3.75,3.77,4.0,1,0
10,18,0,man,white,1,middle,1,0,0,public,minimally_selective,4.9,arts_humanities,53,3.26,3.92,0,full_time,13.8,13.8,13.8,1.0,11,0,7,18,0,4,4,17.7,7.0,2,1,2,1,4,5,5,4,4,3,3,4,2,3,2,2,2,1,3,2,2,3,2,3,4,1,2,1,1,1.5,4.4,3.0,2.25,2.0,3.0,1.25,3.55,3.35,4.22,1,0
11,24,1,woman,white,1,low,1,0,0,private_for_profit,moderately_selective,10.2,arts_humanities,38,2.44,3.89,0,full_time,11.0,11.0,6.7,0.605,36,1,0,36,0,5,2,7.5,5.8,5,5,5,4,2,3,3,2,3,5,5,5,5,4,3,3,2,5,5,5,4,1,3,1,3,4,4,3,5,4.75,2.6,5.0,3.0,4.75,2.0,4.0,1.64,2.04,2.94,0,1
12,18,0,man,white,1,low,1,1,0,private_nonprofit,open_access,6.5,health,30,3.24,3.74,0,full_time,17.8,17.8,17.8,1.0,9,0,7,16,0,3,4,17.0,8.5,2,3,4,3,3,3,3,5,4,4,5,4,4,4,3,2,2,1,1,3,2,3,3,3,2,1,1,3,1,3.0,3.6,4.25,2.75,1.75,2.75,1.5,3.7,3.7,4.06,1,0
13,23,1,man,asian,1,high,0,0,0,public,moderately_selective,6.4,business,18,1.84,2.72,1,full_time,15.8,15.8,8.8,0.555,37,1,0,37,0,4,4,1.0,6.1,2,1,2,4,1,1,1,1,2,1,2,3,3,1,1,2,1,4,3,4,4,4,2,5,5,3,3,4,5,2.25,1.2,2.25,1.25,3.75,4.0,3.75,1.66,1.4,1.85,1,0
14,19,0,man,white,0,high,1,1,0,private_nonprofit,moderately_selective,7.6,health,19,1.87,3.15,0,full_time,12.5,12.5,8.7,0.697,19,0,0,19,0,3,3,12.6,5.5,2,3,3,2,4,1,2,1,3,3,4,4,5,3,2,4,4,3,3,5,4,2,2,2,2,2,4,5,4,2.5,2.2,4.0,3.25,3.75,2.0,3.75,1.51,1.81,3.02,1,0
15,19,0,man,white,0,middle,0,0,0,private_nonprofit,open_access,7.2,arts_humanities,26,2.85,3.75,0,full_time,13.4,13.4,10.7,0.799,18,0,0,18,0,3,1,4.6,5.8,5,2,4,2,2,2,3,2,2,2,2,1,4,2,3,1,3,4,5,4,3,1,2,2,1,3,3,5,3,3.25,2.2,2.25,2.25,4.0,1.5,3.5,2.63,2.71,3.06,1,0
16,20,1,man,hispanic_latino,1,low,1,0,0,public,highly_selective,6.7,stem,44,2.94,3.14,1,full_time,14.1,14.1,10.6,0.754,19,0,0,19,1,1,5,13.1,6.3,2,4,3,5,4,2,2,4,4,2,1,1,1,3,3,1,3,3,4,2,1,3,2,3,2,1,1,2,3,3.5,3.2,1.25,2.5,2.5,2.5,1.75,3.03,3.27,3.26,1,0
